season_id,match_id,slug,title,time_of_day,date,time,status,status_description,winner_team_id,toss_winner_team_id,toss_choice,ground_id,team_1_id,team_2_id,team_1_score,team_1_scoreInfo,team_2_scoreInfo
4162,18603,new-zealand-vs-sri-lanka-23rd-match-group-f,"23rd Match, Group F",day,2009-06-16,18:00:00,RESULT,Sri Lanka won by 48 runs,8,8,1,34,8,5,110,,"17/20 ov, T:159"
4162,18604,india-vs-south-africa-24th-match-group-e,"24th Match, Group E",daynight,2009-06-16,22:00:00,RESULT,South Africa won by 12 runs,3,3,1,34,3,6,118/8,,"20 ov, T:131"
4162,18605,pakistan-vs-south-africa-1st-semi-final,1st Semi-Final,daynight,2009-06-18,22:00:00,RESULT,Pakistan won by 7 runs,7,7,1,34,7,3,142/5,,"20 ov, T:150"
4162,18606,sri-lanka-vs-west-indies-2nd-semi-final,2nd Semi-Final,daynight,2009-06-19,22:00:00,RESULT,Sri Lanka won by 57 runs,8,4,2,45,8,4,101,,"17.4/20 ov, T:159"
4162,18607,pakistan-vs-sri-lanka-final,Final,day,2009-06-21,19:30:00,RESULT,Pakistan won by 8 wickets (with 8 balls remaining),7,8,1,10,8,7,139/2,,"18.4/20 ov, T:139"
5195,26474,new-zealand-vs-sri-lanka-1st-match-group-b,"1st Match, Group B",day,2010-04-30,22:30:00,RESULT,New Zealand won by 2 wickets (with 1 ball remaining),5,8,1,1986,8,5,139/8,,"19.5/20 ov, T:136"
5195,26473,west-indies-vs-ireland-2nd-match-group-d,"2nd Match, Group D",daynight,2010-04-30,02:30:00,RESULT,West Indies won by 70 runs,4,4,1,1986,4,29,68,,"16.4/20 ov, T:139"
5195,26475,afghanistan-vs-india-3rd-match-group-c,"3rd Match, Group C",day,2010-05-01,19:00:00,RESULT,India won by 7 wickets (with 31 balls remaining),6,6,2,1697,40,6,116/3,,"14.5/20 ov, T:116"
5195,26476,bangladesh-vs-pakistan-4th-match-group-a,"4th Match, Group A",day,2010-05-01,23:00:00,RESULT,Pakistan won by 21 runs,7,7,1,1697,7,25,151/7,,"20 ov, T:173"
5195,26478,india-vs-south-africa-5th-match-group-c,"5th Match, Group C",day,2010-05-02,19:00:00,RESULT,India won by 14 runs,6,3,2,1697,6,3,172/5,,"20 ov, T:187"
5195,26479,australia-vs-pakistan-6th-match-group-a,"6th Match, Group A",day,2010-05-02,23:00:00,RESULT,Australia won by 34 runs,2,2,1,1697,2,7,157,,"20 ov, T:192"
5195,26482,sri-lanka-vs-zimbabwe-7th-match-group-b,"7th Match, Group B",day,2010-05-03,19:00:00,RESULT,Sri Lanka won by 14 runs (D/L method),8,8,1,1986,8,9,29/1,,"5/5 ov, T:44"
5195,26481,west-indies-vs-england-8th-match-group-d,"8th Match, Group D",day,2010-05-03,23:00:00,RESULT,West Indies won by 8 wickets (with 1 ball remaining) (D/L method),4,4,2,1986,1,4,60/2,,"5.5/6 ov, T:60"
5195,26480,new-zealand-vs-zimbabwe-9th-match-group-b,"9th Match, Group B",day,2010-05-04,19:00:00,RESULT,New Zealand won by 7 runs (D/L method),5,5,2,1986,9,5,36/1,,"8.1/8.1 ov, T:30"
5195,26477,england-vs-ireland-10th-match-group-d,"10th Match, Group D",day,2010-05-04,23:00:00,NO RESULT,No result,,29,2,1986,1,29,14/1,,"3.3/20 ov, T:121"
5195,26484,australia-vs-bangladesh-11th-match-group-a,"11th Match, Group A",day,2010-05-05,22:30:00,RESULT,Australia won by 27 runs,2,2,1,199,2,25,114,,"18.4/20 ov, T:142"
5195,26483,afghanistan-vs-south-africa-12th-match-group-c,"12th Match, Group C",daynight,2010-05-05,02:30:00,RESULT,South Africa won by 59 runs,3,40,2,199,3,40,80,,"16/20 ov, T:140"
5195,26485,england-vs-pakistan-13th-match-group-e,"13th Match, Group E",day,2010-05-06,19:00:00,RESULT,England won by 6 wickets (with 3 balls remaining),1,1,2,199,7,1,151/4,,"19.3/20 ov, T:148"
5195,26486,new-zealand-vs-south-africa-14th-match-group-e,"14th Match, Group E",day,2010-05-06,23:00:00,RESULT,South Africa won by 13 runs,3,3,1,199,3,5,157/7,,"20 ov, T:171"
5195,26487,australia-vs-india-15th-match-group-f,"15th Match, Group F",day,2010-05-07,19:00:00,RESULT,Australia won by 49 runs,2,6,2,199,2,6,135,,"17.4/20 ov, T:185"
5195,26488,west-indies-vs-sri-lanka-16th-match-group-f,"16th Match, Group F",day,2010-05-07,23:00:00,RESULT,Sri Lanka won by 57 runs,8,8,1,199,8,4,138/8,,"20 ov, T:196"
5195,26489,new-zealand-vs-pakistan-17th-match-group-e,"17th Match, Group E",day,2010-05-08,19:00:00,RESULT,New Zealand won by 1 run,5,7,2,199,5,7,132/7,,"20 ov, T:134"
5195,26490,england-vs-south-africa-18th-match-group-e,"18th Match, Group E",day,2010-05-08,23:00:00,RESULT,England won by 39 runs,1,1,1,199,1,3,129,,"19/20 ov, T:169"
5195,26491,west-indies-vs-india-19th-match-group-f,"19th Match, Group F",day,2010-05-09,19:00:00,RESULT,West Indies won by 14 runs,4,6,2,199,4,6,155/9,,"20 ov, T:170"
